"id","group","status","left","right","residual","scaled_residual","tolerance","notes"
"native_fourier/Gaussian","native_saved_reassembly","EXACT","Sqrt[Pi]/(E^(bb^2/(4*ss))*Sqrt[ss])","Sqrt[Pi]/(E^(bb^2/(4*ss))*Sqrt[ss])","0","0","0 (symbolic)",""
"native_fourier/full_D_scalar","native_saved_reassembly","EXACT","((bb^2)^eps*E^(eps*EulerGamma)*Gamma[-eps])/4^eps","((bb^2)^eps*E^(eps*EulerGamma)*Gamma[-eps])/4^eps","0","0","0 (symbolic)",""
"native_fourier/full_D_rank_one","native_saved_reassembly","EXACT","(-I)*2^(-1 - 2*eps)*bb*(bb^2)^eps*E^(eps*EulerGamma)*(1 + eps)*Gamma[-1 - eps]","(-I)*2^(-1 - 2*eps)*bb*(bb^2)^eps*E^(eps*EulerGamma)*(1 + eps)*Gamma[-1 - eps]","0","0","0 (symbolic)",""
"native_fourier/operator_angular_conversion","native_saved_reassembly","EXACT","1/(Gamma[1 - eps]*Gamma[1 + eps])","1/(Gamma[1 - eps]*Gamma[1 + eps])","0","0","0 (symbolic)",""
"native_fourier/ratio_to_native_sphere","native_saved_reassembly","EXACT","-((E^(eps*(B - 2*EulerGamma))*Gamma[1 - eps])/(eps*Gamma[1 + eps]))","-((E^(eps*(B - 2*EulerGamma))*Gamma[1 - eps])/(eps*Gamma[1 + eps]))","0","0","0 (symbolic)",""
"native_fourier/fragmentation_phase_ratio","native_saved_reassembly","EXACT","z^(-2*eps)","z^(-2*eps)","0","0","0 (symbolic)",""
"Gaussian_forward_U","Fourier_conversion","EXACT","(ampU*Pi)/(beta*E^(bb^2/(4*beta*zh^2)))","(ampU*Pi)/(beta*E^(bb^2/(4*beta*zh^2)))","0","0","0 (symbolic)",""
"Gaussian_forward_C","Fourier_conversion","EXACT","-((ampT*Pi)/(beta^2*E^(bb^2/(4*beta*zh^2))*Mh*zh))","-((ampT*Pi)/(beta^2*E^(bb^2/(4*beta*zh^2))*Mh*zh))","0","0","0 (symbolic)",""
"Gaussian_inverse_U","Fourier_conversion","EXACT","ampU/E^(beta*jT^2)","ampU/E^(beta*jT^2)","0","0","0 (symbolic)",""
"Gaussian_inverse_T","Fourier_conversion","EXACT","(ampT*jT)/(E^(beta*jT^2)*Mh*zh)","(ampT*jT)/(E^(beta*jT^2)*Mh*zh)","0","0","0 (symbolic)",""
"native_U_radial_measure","Fourier_conversion","EXACT","(bh*BesselJ[0, (bh*jT)/zh]*dInput[bh])/(2*Pi*zh^2)","(bh*BesselJ[0, (bh*jT)/zh]*dInput[bh])/(2*Pi*zh^2)","0","0","0 (symbolic)",""
"native_T_signed_radial_measure","Fourier_conversion","EXACT","(bh^2*BesselJ[1, (bh*jT)/zh]*cInput[bh])/(4*Pi*zh^3)","(bh^2*BesselJ[1, (bh*jT)/zh]*cInput[bh])/(4*Pi*zh^3)","0","0","0 (symbolic)","Comparison applies the declared native-HC/Trento radial sign; full hard angular frames are not identified."
"analyzer_local_sine","conventions","EXACT","-((jT*Cos[phiS]*Sin[phiH])/(Mh*zh)) + (jT*Cos[phiH]*Sin[phiS])/(Mh*zh)","-((jT*Sin[phiH - phiS])/(Mh*zh))","0","0","0 (symbolic)",""
"saved_ep_UU_convolution","native_saved_reassembly","EXACT","(-1/2*(Bh^2*CF) - (CF*Pi^2)/12 + Bh*CF*Th)*FFq[zh] - 2*Bh*CF*(FFq[zh]*Log[1 - zh] + Inactive[Integrate][(-FFq[zh] + FFq[zh/u]/u)/(1 - u), {u, zh, 1}]) + Inactive[Integrate][(FFg[zh/u]*(2*Bh*CF - (2*Bh*CF)/u + CF*u - Bh*CF*u - 4*CF*Log[u] + (4*CF*Log[u])/u + 2*CF*u*Log[u]))/u, {u, zh, 1}] + Inactive[Integrate][(FFq[zh/u]*(-(CF/(-1 + u)) - (Bh*CF)/(-1 + u) + (2*CF*u)/(-1 + u) - (CF*u^2)/(-1 + u) + (Bh*CF*u^2)/(-1 + u) - (2*CF*Log[u])/(-1 + u) - (2*CF*u^2*Log[u])/(-1 + u)))/u, {u, zh, 1}]","(-1/2*(Bh^2*CF) - (CF*Pi^2)/12 + Bh*CF*Th)*FFq[zh] - 2*Bh*CF*(FFq[zh]*Log[1 - zh] + Inactive[Integrate][(-FFq[zh] + FFq[zh/u]/u)/(1 - u), {u, zh, 1}]) + Inactive[Integrate][(FFg[zh/u]*(2*Bh*CF - (2*Bh*CF)/u + CF*u - Bh*CF*u - 4*CF*Log[u] + (4*CF*Log[u])/u + 2*CF*u*Log[u]))/u, {u, zh, 1}] + Inactive[Integrate][(FFq[zh/u]*(-(CF/(-1 + u)) - (Bh*CF)/(-1 + u) + (2*CF*u)/(-1 + u) - (CF*u^2)/(-1 + u) + (Bh*CF*u^2)/(-1 + u) - (2*CF*Log[u])/(-1 + u) - (2*CF*u^2*Log[u])/(-1 + u)))/u, {u, zh, 1}]","0","0","0 (symbolic)",""
"saved_ep_UT_convolution","native_saved_reassembly","EXACT","(-1/2*(Bh^2*CF) - (CF*Pi^2)/12 + Bh*CF*Th)*Hhatq[zh] - 2*Bh*CF*(Hhatq[zh]*Log[1 - zh] + Inactive[Integrate][(-Hhatq[zh] + Hhatq[zh/u]/u)/(1 - u), {u, zh, 1}]) + Inactive[Integrate][(Hhatq[zh/u]*((-2*Bh*CF)/(-1 + u) + (2*Bh*CF*u)/(-1 + u) - (4*CF*u*Log[u])/(-1 + u)))/u, {u, zh, 1}]","(-1/2*(Bh^2*CF) - (CF*Pi^2)/12 + Bh*CF*Th)*Hhatq[zh] - 2*Bh*CF*(Hhatq[zh]*Log[1 - zh] + Inactive[Integrate][(-Hhatq[zh] + Hhatq[zh/u]/u)/(1 - u), {u, zh, 1}]) + Inactive[Integrate][(Hhatq[zh/u]*((-2*Bh*CF)/(-1 + u) + (2*Bh*CF*u)/(-1 + u) - (4*CF*u*Log[u])/(-1 + u)))/u, {u, zh, 1}]","0","0","0 (symbolic)",""
"saved_ep_HF_action","native_saved_reassembly","EXACT","2*Inactive[Integrate][0, {u, zh, 1}] + Inactive[Integrate][0, {v, 0, 1}] + Log[1 - zh]*Inactive[Integrate][0, {v, 0, 1}] + (Log[1 - zh]^2*Inactive[Integrate][0, {v, 0, 1}])/2 + Inactive[Integrate][Inactive[Integrate][(-(CA/((-1 + v)^2*(-1 + u*v))) + (2*CF)/((-1 + v)^2*(-1 + u*v)) + (CA*u)/((-1 + v)^2*(-1 + u*v)) - (Bh*CA*u)/((-1 + v)^2*(-1 + u*v)) - (2*CF*u)/((-1 + v)^2*(-1 + u*v)) + (2*Bh*CF*u)/((-1 + v)^2*(-1 + u*v)) + (Bh*CA*u^2)/((-1 + v)^2*(-1 + u*v)) - (2*Bh*CF*u^2)/((-1 + v)^2*(-1 + u*v)) - (4*CF*v)/((-1 + v)^2*(-1 + u*v)) + (2*CA*u*v)/((-1 + v)^2*(-1 + u*v)) - (Bh*CA*u*v)/((-1 + v)^2*(-1 + u*v)) + (2*CF*u*v)/((-1 + v)^2*(-1 + u*v)) - (2*Bh*CF*u*v)/((-1 + v)^2*(-1 + u*v)) - (2*CA*u^2*v)/((-1 + v)^2*(-1 + u*v)) + (2*CF*u^2*v)/((-1 + v)^2*(-1 + u*v)) + (2*Bh*CF*u^2*v)/((-1 + v)^2*(-1 + u*v)) + (2*Bh*CF*u^3*v)/((-1 + v)^2*(-1 + u*v)) + (2*CF*v^2)/((-1 + v)^2*(-1 + u*v)) + (2*CF*u*v^2)/((-1 + v)^2*(-1 + u*v)) - (CA*u^2*v^2)/((-1 + v)^2*(-1 + u*v)) + (Bh*CA*u^2*v^2)/((-1 + v)^2*(-1 + u*v)) - (4*CF*u^2*v^2)/((-1 + v)^2*(-1 + u*v)) + (CA*u^3*v^2)/((-1 + v)^2*(-1 + u*v)) - (4*Bh*CF*u^3*v^2)/((-1 + v)^2*(-1 + u*v)) - (2*CF*u*v^3)/((-1 + v)^2*(-1 + u*v)) + (2*CF*u^2*v^3)/((-1 + v)^2*(-1 + u*v)) + (2*Bh*CF*u^3*v^3)/((-1 + v)^2*(-1 + u*v)) + (2*CA*u*Log[u])/((-1 + v)^2*(-1 + u*v)) - (4*CF*u*Log[u])/((-1 + v)^2*(-1 + u*v)) - (2*CA*u^2*Log[u])/((-1 + v)^2*(-1 + u*v)) + (4*CF*u^2*Log[u])/((-1 + v)^2*(-1 + u*v)) + (2*CA*u*v*Log[u])/((-1 + v)^2*(-1 + u*v)) + (4*CF*u*v*Log[u])/((-1 + v)^2*(-1 + u*v)) - (4*CF*u^2*v*Log[u])/((-1 + v)^2*(-1 + u*v)) - (4*CF*u^3*v*Log[u])/((-1 + v)^2*(-1 + u*v)) - (2*CA*u^2*v^2*Log[u])/((-1 + v)^2*(-1 + u*v)) + (8*CF*u^3*v^2*Log[u])/((-1 + v)^2*(-1 + u*v)) - (4*CF*u^3*v^3*Log[u])/((-1 + v)^2*(-1 + u*v)))*(-(HFNative[flavor, zh/u, zh/u, mu]/u) + HFNative[flavor, zh/u, zh/(u*v), mu]/u + ((-1 + v)*zh*Derivative[0, 0, 1, 0][HFNative][flavor, zh/u, zh/u, mu])/u^2), {v, 0, 1}], {u, zh, 1}]","2*Inactive[Integrate][0, {u, zh, 1}] + Inactive[Integrate][0, {v, 0, 1}] + Log[1 - zh]*Inactive[Integrate][0, {v, 0, 1}] + (Log[1 - zh]^2*Inactive[Integrate][0, {v, 0, 1}])/2 + Inactive[Integrate][Inactive[Integrate][(-(CA/((-1 + v)^2*(-1 + u*v))) + (2*CF)/((-1 + v)^2*(-1 + u*v)) + (CA*u)/((-1 + v)^2*(-1 + u*v)) - (Bh*CA*u)/((-1 + v)^2*(-1 + u*v)) - (2*CF*u)/((-1 + v)^2*(-1 + u*v)) + (2*Bh*CF*u)/((-1 + v)^2*(-1 + u*v)) + (Bh*CA*u^2)/((-1 + v)^2*(-1 + u*v)) - (2*Bh*CF*u^2)/((-1 + v)^2*(-1 + u*v)) - (4*CF*v)/((-1 + v)^2*(-1 + u*v)) + (2*CA*u*v)/((-1 + v)^2*(-1 + u*v)) - (Bh*CA*u*v)/((-1 + v)^2*(-1 + u*v)) + (2*CF*u*v)/((-1 + v)^2*(-1 + u*v)) - (2*Bh*CF*u*v)/((-1 + v)^2*(-1 + u*v)) - (2*CA*u^2*v)/((-1 + v)^2*(-1 + u*v)) + (2*CF*u^2*v)/((-1 + v)^2*(-1 + u*v)) + (2*Bh*CF*u^2*v)/((-1 + v)^2*(-1 + u*v)) + (2*Bh*CF*u^3*v)/((-1 + v)^2*(-1 + u*v)) + (2*CF*v^2)/((-1 + v)^2*(-1 + u*v)) + (2*CF*u*v^2)/((-1 + v)^2*(-1 + u*v)) - (CA*u^2*v^2)/((-1 + v)^2*(-1 + u*v)) + (Bh*CA*u^2*v^2)/((-1 + v)^2*(-1 + u*v)) - (4*CF*u^2*v^2)/((-1 + v)^2*(-1 + u*v)) + (CA*u^3*v^2)/((-1 + v)^2*(-1 + u*v)) - (4*Bh*CF*u^3*v^2)/((-1 + v)^2*(-1 + u*v)) - (2*CF*u*v^3)/((-1 + v)^2*(-1 + u*v)) + (2*CF*u^2*v^3)/((-1 + v)^2*(-1 + u*v)) + (2*Bh*CF*u^3*v^3)/((-1 + v)^2*(-1 + u*v)) + (2*CA*u*Log[u])/((-1 + v)^2*(-1 + u*v)) - (4*CF*u*Log[u])/((-1 + v)^2*(-1 + u*v)) - (2*CA*u^2*Log[u])/((-1 + v)^2*(-1 + u*v)) + (4*CF*u^2*Log[u])/((-1 + v)^2*(-1 + u*v)) + (2*CA*u*v*Log[u])/((-1 + v)^2*(-1 + u*v)) + (4*CF*u*v*Log[u])/((-1 + v)^2*(-1 + u*v)) - (4*CF*u^2*v*Log[u])/((-1 + v)^2*(-1 + u*v)) - (4*CF*u^3*v*Log[u])/((-1 + v)^2*(-1 + u*v)) - (2*CA*u^2*v^2*Log[u])/((-1 + v)^2*(-1 + u*v)) + (8*CF*u^3*v^2*Log[u])/((-1 + v)^2*(-1 + u*v)) - (4*CF*u^3*v^3*Log[u])/((-1 + v)^2*(-1 + u*v)))*(-(HFNative[flavor, zh/u, zh/u, mu]/u) + HFNative[flavor, zh/u, zh/(u*v), mu]/u + ((-1 + v)*zh*Derivative[0, 0, 1, 0][HFNative][flavor, zh/u, zh/u, mu])/u^2), {v, 0, 1}], {u, zh, 1}]","0","0","0 (symbolic)",""
"HF_test_endpoint_value","test_input_scope","EXACT","0","0","0","0","0 (symbolic)",""
"HF_test_endpoint_derivative","test_input_scope","EXACT","0","0","0","0","0 (symbolic)","Nonzero polarized two-fraction test in the inherited endpoint class; generic contacts remain uncertified."
"ep_isolated_fragmentation_U1","assembly_order","EXACT","D1","D1","0","0","0 (symbolic)",""
"ep_isolated_fragmentation_T1","assembly_order","EXACT","C1","C1","0","0","0 (symbolic)",""
"highpt_fragmentation_order","assembly_order","EXACT","a*F0 + a^2*(F1 + F0*j1)","a*F0 + a^2*(F1 + F0*j1)","0","0","0 (symbolic)","One-loop fragmentation is O(a) relative to each workflow's different Born order. Hhighpt starts at a."
